Contract A,Contract B,Similarity
ERC1967Proxy_0x604d.sol,VaultProxy_0x0e60.sol,98.43
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x6874.sol,98.43
ERC1967Proxy_0xf4e1.sol,ERC1967Proxy_0x445f.sol,98.42
ENA_0x57e1.sol,ENSToken_0xc183.sol,98.42
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0xf4e1.sol,98.42
ERC1967Proxy_0xebf6.sol,ERC1967Proxy_0xf4e1.sol,98.42
ERC1967Proxy_0x09c3.sol,VaultProxy_0x0e60.sol,98.42
ENA_0x57e1.sol,Permit2Proxy_0x89c6.sol,98.4
PlasmaVault_0xc50b.sol,PlasmaVault_0x43ee.sol,98.4
ERC1967Proxy_0x0d9a.sol,VaultProxy_0x0e60.sol,98.37
TransparentUpgradeableProxy_0x5aea.sol,VaultProxy_0x0e60.sol,98.37
TransparentUpgradeableProxy_0x6c96.sol,VaultProxy_0x0e60.sol,98.37
ERC1967Proxy_0xe343.sol,VaultProxy_0x0e60.sol,98.37
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x4867.sol,98.37
TransparentUpgradeableProxy_0xd72a.sol,VaultProxy_0x0e60.sol,98.37
TransparentUpgradeableProxy_0xbca3.sol,VaultProxy_0x0e60.sol,98.37
TransparentUpgradeableProxy_0x2ddd.sol,TransparentUpgradeableProxy_0x4867.sol,98.37
ERC1967Proxy_0x09c3.sol,ERC1967Proxy_0xb2ec.sol,98.37
AdminUpgradeabilityProxy_0x2a3b.sol,TransparentUpgradeableProxy_0x6874.sol,98.37
TransparentUpgradeableProxy_0x7623.sol,TransparentUpgradeableProxy_0x4867.sol,98.37
TransparentUpgradeableProxy_0xda9c.sol,TransparentUpgradeableProxy_0x4867.sol,98.37
TransparentUpgradeableProxy_0x1a88.sol,TransparentUpgradeableProxy_0x4867.sol,98.36
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x5c7b.sol,98.34
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0xda9c.sol,98.34
ERC1967Proxy_0xf4e1.sol,TransparentUpgradeableProxy_0xf668.sol,98.34
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x2ddd.sol,98.34
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x7623.sol,98.34
CumulativeMerkleDrop_0x1300.sol,GamerCoin_0x728f.sol,98.32
AdminUpgradeabilityProxy_0x2a3b.sol,TransparentUpgradeableProxy_0x1c47.sol,98.32
